end_date,3DS,DC,DS,GBA,GC,NeoGeoP,Switch,PS2,PS3,PS4,PS5,PSP,WS,Vita,Wii,WiiU,XB360,XBOne,XSX,Xbox,PKS
2007-01-14,,,14374756.0,14904075.0,4004412.0,,,19583108.0,567827.0,,,4675300.0,,,1232646.0,,319718.0,,,,
2007-01-21,,,14508809.0,14905531.0,4004818.0,,,19601430.0,593206.0,,,4715007.0,,,1313160.0,,326527.0,,,,
2007-01-28,,,14699349.0,14906632.0,4005101.0,,,19620256.0,614234.0,,,4751361.0,,,1394541.0,,334166.0,,,,
2007-02-04,,,14875228.0,14907551.0,4005470.0,,,19638133.0,634921.0,,,4785366.0,,,1469714.0,,339675.0,,,,
2007-02-11,,,15040686.0,14908259.0,4005886.0,,,19654216.0,657871.0,,,4817508.0,,,1538692.0,,344055.0,,,,
2007-02-18,,,15184746.0,14908926.0,4006300.0,,,19670729.0,678488.0,,,4854710.0,,,1602541.0,,348733.0,,,,
2007-02-25,,,15319372.0,14909715.0,4006595.0,,,19686695.0,700046.0,,,4948233.0,,,1690879.0,,352795.0,,,,
2007-03-04,,,15434432.0,14910426.0,4006914.0,,,19702084.0,746970.0,,,5010091.0,,,1752238.0,,357156.0,,,,
2007-03-11,,,15537978.0,14911179.0,4007235.0,,,19715305.0,773895.0,,,5061061.0,,,1801988.0,,360396.0,,,,
2007-03-18,,,15666489.0,14912182.0,4007540.0,,,19728206.0,793682.0,,,5103823.0,,,1865929.0,,363623.0,,,,
2007-03-25,,,15825987.0,14913300.0,4007850.0,,,19743640.0,812073.0,,,5146049.0,,,1953633.0,,367239.0,,,,
2007-04-01,,,15909887.0,14914209.0,4008108.0,,,19759993.0,829362.0,,,5185471.0,,,1994431.0,,371013.0,,,,
2007-04-08,,,16028661.0,14915242.0,,,,19774160.0,844182.0,,,5215779.0,,,2038951.0,,374596.0,,,,
2007-04-15,,,16153197.0,14915981.0,,,,19787111.0,857721.0,,,5244255.0,,,2101312.0,,377950.0,,,,
2007-04-22,,,16311386.0,14916505.0,,,,19798273.0,868620.0,,,5272972.0,,,2166405.0,,380803.0,,,,
2007-04-29,,,16530859.0,14917159.0,,,,19813459.0,885063.0,,,5307528.0,,,2242418.0,,384444.0,,,,
2007-05-06,,,16750332.0,14917813.0,,,,19828645.0,901506.0,,,5342084.0,,,2318431.0,,388085.0,,,,
2007-05-13,,,16910644.0,14918211.0,,,,19840499.0,910468.0,,,5375522.0,,,2374155.0,,390454.0,,,,
2007-05-20,,,17022953.0,14918726.0,,,,19852248.0,918657.0,,,5401566.0,,,2431809.0,,392750.0,,,,
2007-05-27,,,17151711.0,14919190.0,,,,19864361.0,928641.0,,,5428012.0,,,2493148.0,,395414.0,,,,
2007-06-03,,,17268724.0,14919598.0,,,,19876277.0,938836.0,,,5454360.0,,,2563370.0,,398287.0,,,,
2007-06-10,,,17383782.0,14920213.0,,,,19888457.0,949592.0,,,5483334.0,,,2627409.0,,401318.0,,,,
2007-06-17,,,17520175.0,14920752.0,,,,19900863.0,960604.0,,,5511106.0,,,2697765.0,,408972.0,,,,
2007-06-24,,,17686723.0,14921178.0,,,,19913465.0,970269.0,,,5541309.0,,,2764122.0,,413030.0,,,,
2007-07-01,,,17840082.0,14921691.0,,,,19933324.0,982946.0,,,5579918.0,,,2839132.0,,417348.0,,,,
2007-07-08,,,17959906.0,14922167.0,,,,19948280.0,996348.0,,,5615099.0,,,2909930.0,,420703.0,,,,
2007-07-15,,,18095852.0,14922555.0,,,,19965321.0,1010491.0,,,5648034.0,,,3014827.0,,424343.0,,,,
2007-07-22,,,18239471.0,14923126.0,,,,19981554.0,1023934.0,,,5677302.0,,,3090508.0,,427115.0,,,,
2007-07-29,,,18403952.0,14923732.0,,,,19995893.0,1062256.0,,,5708971.0,,,3160874.0,,431000.0,,,,
2007-08-05,,,18547608.0,14924196.0,,,,20010655.0,1084241.0,,,5738463.0,,,3223672.0,,434305.0,,,,
2007-08-12,,,18706926.0,14924825.0,,,,20026402.0,1106577.0,,,5766744.0,,,3289993.0,,437167.0,,,,
2007-08-19,,,18866244.0,14925454.0,,,,20042149.0,1128913.0,,,5795025.0,,,3356314.0,,440029.0,,,,
2007-08-26,,,18982750.0,14925929.0,,,,20058418.0,1143796.0,,,5816531.0,,,3406527.0,,442287.0,,,,
2007-09-02,,,19083998.0,14926336.0,,,,20074253.0,1160612.0,,,5838341.0,,,3454166.0,,444349.0,,,,
2007-09-09,,,19162978.0,14926572.0,,,,20087701.0,1174162.0,,,5854778.0,,,3492638.0,,446198.0,,,,
2007-09-16,,,19237498.0,14926875.0,,,,20101654.0,1186461.0,,,5954118.0,,,3522860.0,,447922.0,,,,
2007-09-23,,,19303619.0,14927238.0,,,,20114380.0,1197564.0,,,6217656.0,,,3549919.0,,449757.0,,,,
2007-09-30,,,19375458.0,14927461.0,,,,20127818.0,1210240.0,,,6345828.0,,,3574747.0,,455529.0,,,,
2007-10-07,,,19452018.0,14927720.0,,,,20139656.0,1221265.0,,,6430582.0,,,3595925.0,,458666.0,,,,
2007-10-14,,,19532278.0,14928054.0,,,,20151198.0,1229639.0,,,6499295.0,,,3619620.0,,465768.0,,,,
2007-10-21,,,19610088.0,14928382.0,,,,20162112.0,1241384.0,,,6563072.0,,,3650396.0,,470739.0,,,,
2007-10-28,,,19693524.0,14928646.0,,,,20173265.0,1257423.0,,,6624918.0,,,3685162.0,,474246.0,,,,
2007-11-04,,,19773796.0,14929071.0,,,,20183957.0,1273553.0,,,6681459.0,,,3725998.0,,490868.0,,,,
2007-11-11,,,19855427.0,14929360.0,,,,20193363.0,1329443.0,,,6735979.0,,,3760818.0,,497866.0,,,,
2007-11-18,,,19936254.0,14929656.0,,,,20202184.0,1382259.0,,,6802457.0,,,3797231.0,,503551.0,,,,
2007-11-25,,,20051783.0,14929976.0,,,,20217469.0,1440640.0,,,6890996.0,,,3844355.0,,509311.0,,,,
2007-12-02,,,20178130.0,14930232.0,,,,20232824.0,1481480.0,,,6969039.0,,,3915220.0,,514533.0,,,,
2007-12-09,,,20342706.0,14930478.0,,,,20247464.0,1519904.0,,,7057445.0,,,4025011.0,,522347.0,,,,
