,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
256.0,,,,,,,,3570127.0,,117874.0,,,,,,,,,,,
257.0,,,,,,,,,,,,,,,,,,,67717.0,,
259.0,,,,1017194.0,,,,,,,,,,,,,,,,,
260.0,,,759324.0,,2440793.0,,,,,,2927708.0,1062256.0,,,905921.0,3356314.0,157606.0,,,,1958398.0
261.0,2280094.0,,,,,856795.0,,,1367013.0,,,,,,,,,,,,
262.0,,940203.0,,,,,2769929.0,,,,,,,592739.0,,,,54189.0,,255532.0,
263.0,,,,,,,,3609014.0,,119455.0,,,,,,,,,,,
264.0,,,,,,,,,,,,,,,,,,,69519.0,,
266.0,,,,1026485.0,,,,,,,,,,,,,,,,,
267.0,,,773497.0,,2529018.0,,,,,,2935844.0,1084241.0,,,917303.0,3406527.0,158653.0,,,,2014327.0
268.0,2413840.0,,,,,879739.0,,,1380242.0,,,,,,,,,,,,
269.0,,953733.0,,,,,2834964.0,,,,,,,599576.0,,,,54537.0,,258667.0,
270.0,,,,,,,,3729725.0,,121146.0,,,,,,,,,,,
271.0,,,,,,,,,,,,,,,,,,,70588.0,,
273.0,,,,1037436.0,,,,,,,,,,,,,,,,,
274.0,,,784638.0,,2639106.0,,,,,,2939150.0,1106577.0,,,925987.0,3454166.0,159564.0,,,,2074956.0
275.0,2564423.0,,,,,907391.0,,,1389544.0,,,,,,,,,,,,
276.0,,962789.0,,,,,2889998.0,,,,,,,601530.0,,,,54785.0,,261802.0,
277.0,,,,,,,,3994574.0,,122680.0,,,,,,,,,,,
278.0,,,,,,,,,,,,,,,,,,,71844.0,,
280.0,,,,1044460.0,,,,,,,,,,,,,,,,,
281.0,,,796711.0,,2855456.0,,,,,,2964050.0,1128913.0,,,934206.0,3492638.0,160418.0,,,,2133760.0
282.0,2758140.0,,,,,933844.0,,,1396124.0,,,,,,,,,,,,
283.0,,975427.0,,,,,2952639.0,,,,,,,618208.0,,,,54903.0,,264842.0,
284.0,,,,,,,,4245684.0,,124210.0,,,,,,,,,,,
285.0,,,,,,,,,,,,,,,,,,,77626.0,,
287.0,,,,1050699.0,,,,,,,,,,,,,,,,,
288.0,,,809751.0,,3233570.0,,,,,,3005741.0,1143796.0,,,947145.0,3522860.0,161457.0,,,,2177541.0
289.0,2988399.0,,,,,,,,1404128.0,,,,,,,,,,,,
290.0,,995581.0,,,,,3015411.0,,,,,,,642562.0,,,,55081.0,,268129.0,
291.0,,,,,,,,4496794.0,,125740.0,,,,,,,,,,,
292.0,,,,,,,,,,,,,,,,,,,83295.0,,
294.0,,,,1055753.0,,,,,,,,,,,,,,,,,
295.0,,,873768.0,,3621408.0,,,,,,3053267.0,1160612.0,,,955263.0,3549919.0,163473.0,,,,2214403.0
296.0,3291903.0,,,,,949128.0,,,1413429.0,,,,,,,,,,,,
297.0,,1012656.0,,,,,3080066.0,,,,,,,676752.0,,,,55438.0,,270259.0,
298.0,,,,,,,,4585160.0,,127479.0,,,,,,,,,,,
299.0,,,,,,,,,,,,,,,,,,,85900.0,,
301.0,,,,1060595.0,,,,,,,,,,,,,,,,,
302.0,,,895425.0,,4132037.0,,,,,,3100793.0,1174162.0,,,962291.0,3574747.0,165105.0,,,,2246807.0
303.0,3407158.0,,,,,965697.0,,,1421671.0,,,,,,,,,,,,
304.0,,1029631.0,,,,,3121478.0,,,,,,,710942.0,,,,55604.0,,274261.0,
305.0,,,,,,,,4641586.0,,128730.0,,,,,,,,,,,
306.0,,,,,,,,,,,,,,,,,,,87989.0,,
308.0,,,,1065742.0,,,,,,,,,,,,,,,,,
309.0,,,925570.0,,4362528.0,,,,,,3179827.0,1186461.0,,,969322.0,3595925.0,166371.0,,,,2291473.0
310.0,3566794.0,,,,,998051.0,,,1453421.0,,,,,,,,,,,,
311.0,,1045715.0,,,,,3168087.0,,,,,,,725398.0,,,,55733.0,,276734.0,
312.0,,,,,,,,4685623.0,,129946.0,,,,,,,,,,,
313.0,,,,,,,,,,,,,,,,,,,92365.0,,
315.0,,,,1071302.0,,,,,,,,,,,,,,,,,
316.0,,,933928.0,,4593019.0,,,,,,3208656.0,1197564.0,,,975415.0,3619620.0,167607.0,,,,2363462.0
317.0,3597983.0,,,,,1014570.0,,,1467679.0,,,,,,,,,,,,
318.0,,1072196.0,,,,,3216811.0,,,,,,,732062.0,,,,55916.0,,278859.0,
319.0,,,,,,,,4729741.0,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,,,,,95008.0,,
322.0,,,,1075155.0,,,,,,,,,,,,,,,,,
