"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"955","DSL 103089|DS 457|PSP 50970|GBASP 753|GBM 803|PS2 13221|Wii 49750|PS3 26925|XB360 3240|GC 321","『ヨッシーアイランドDS』|DS、任天堂、2007/3/8、4800円、254523本（初）|（2007/3/5〜3/11）","『コールオブデューティ3』|XB360、スパイク、35点(9/9/8/9)|『プロ野球スピリッツ4』|PS3、KONAMI、35点(9/8/9/9)","●―"
"956","DSL 127882|DS 629|PSP 42762|GBASP 1003|GBM 798|PS2 12901|Wii 63941|PS3 19787|XB360 3227|GC 305","『ヨッシーアイランドDS』|DS、任天堂、2007/3/8、4800円、114946本（369469）|（2007/3/12〜3/18）","『実況パワフルプロ野球ポータブル2』|PSP、KONAMI、34点(10/8/8/8)","●―"
"957","DSL 158609|DS 889|PSP 42226|GBASP 1118|GBM 1121|PS2 15434|Wii 87704|PS3 18391|XB360 3616|GC 310","『無双OROCHI』|PS2、コーエー、2007/3/21、7140円、377507本（初）|（2007/3/19〜3/25）","『逆転裁判4』|DS、カプコン、36点(9/9/9/9)","●―"
"958","DSL 83218|DS 682|PSP 39422|GBASP 909|GBM 654|PS2 16353|Wii 40798|PS3 17289|XB360 3774|GC 258","『キングダムハーツIIファイナルミックス＋』|PS2、スクウェア・エニックス、2007/3/29、7980円、182162本（初）|（2007/3/26〜4/1）","『スーパーペーパーマリオ』|Wii、任天堂、35点(9/9/9/8)","●―"
"959","DSL 118391|DS 383|PSP 30308|GBASP 1033|GBM 656|PS2 14167|Wii 44520|PS3 14820|XB360 3583","『NARUTO-ナルト-疾風伝ナルティメットアクセル』|PS2、バンダイナムコゲームス、2007/4/5、7140円、75399本（初）|（2007/4/2〜4/8）","『レインボーシックスベガス』|XB360、ユービーアイソフト、36点(9/9/9/9)","●―"
"961|※","DSL 124038|DS 498|PSP 28476|GBASP 739|GBM 1005|PS2 12951|Wii 62361|PS3 13539|XB360 3354","『逆転裁判4』|DS、カプコン、2007/4/12、5040円、240275本（初）|（2007/4/9〜4/15）","『レッスルキングダム2〜プロレスリング世界大戦〜』|PS2、ユークス、28点(7/7/7/7)","●―"
"962","DSL 157866|DS 323|PSP 28717|GBASP 524|GBM 624|PS2 11162|Wii 65093|PS3 10899|XB360 2853","『スーパーペーパーマリオ』|Wii、任天堂、2007/4/19、5800円、156055本（初）|（2007/4/16〜4/22）","『燃えろ！熱血リズム魂　押忍！闘え！応援団2』|DS、任天堂、34点(9/9/8/8)","●―"
"963","DSL 438133|DS 814|PSP 69113|GBASP 1308|GBM 1381|PS2 30373|Wii 152027|PS3 32886|XB360 7283|（2週分）","『ファイナルファンタジーXII　レヴァナント・ウィング』|DS、スクウェア・エニックス、2007/4/26、5040円、404342本（初）|（2007/4/23〜5/6）","『フォルツァ モータースポーツ2』|XB360、マイクロソフト、36点(9/9/9/9)","●―"
"964","DSL 160009|DS 303|PSP 33438|GBASP 398|GBM 403|PS2 11854|Wii 55724|PS3 8962|XB360 2369","『ファイナルファンタジータクティクス獅子戦争』|PSP、スクウェア・エニックス、2007/5/10、5040円、169768本（初）|（2007/5/7〜5/13）","『ギルティギアイグゼクス　アクセントコア』|PS2、アークシステムワークス、30点(8/7/8/7)","●―"
"965","DSL 112080|DS 229|PSP 26044|GBASP 515|GBM 371|PS2 11749|Wii 57654|PS3 8189|XB360 2296","『シャイニング・ウインド』|PS2、セガ、2007/5/17、7329円、83250本（初）|（2007/5/14〜5/20）","『株トレーダー瞬』|DS、カプコン、30点(8/7/7/8)|『牧場物語やすらぎの樹』|Wii、マーベラスインタラクティブ、30点(8/8/7/7)","●「『バイオハザード5』が遊べるのはPS3だけ！」との記事にカプコンが公式ページに訂正リリースを掲載"
"966","DSL 128543|DS 215|PSP 26446|GBASP 464|GBM 441|PS2 12113|Wii 61339|PS3 9984|XB360 2664","『結界師　烏森妖奇談』|DS、バンダイナムコゲームス、2007/5/24、5040円、40465本（初）|（2007/5/21〜5/27）","『トラスティベル〜ショパンの夢〜』|XB360、バンダイナムコゲームス、35点(9/9/9/8)","●―"
"967","DSL 116825|DS 188|PSP 26348|GBASP 408|GBM 405|PS2 11916|Wii 70222|PS3 10195|XB360 2873","『見る力を実践で鍛えるDS眼力トレーニング』|DS、任天堂、2007/5/31、3800円、106310本（初）|（2007/5/28〜6/3）","『いただきストリートDS』|DS、スクウェア・エニックス、36点(9/9/9/9)","●―"
"968","DSL 114780|DS 278|PSP 28974|GBASP 615|GBM 654|PS2 12180|Wii 64039|PS3 10756|XB360 3031","『見る力を実践で鍛えるDS眼力トレーニング』|DS、任天堂、2007/5/31、3800円、78846本（185156）|（2007/6/4〜6/10）","『ゼルダの伝説　夢幻の砂時計』|DS、任天堂、39点(10/10/9/10)","●―"
"969","DSL 136168|DS 225|PSP 27772|GBASP 539|GBM 634|PS2 12406|Wii 70356|PS3 11012|XB360 7654","『見る力を実践で鍛えるDS眼力トレーニング』|DS、任天堂、2007/5/31、3800円、67375本（252531）|（2007/6/11〜6/17）","『咲かせて！ちびロボ！』|DS、任天堂、31点(9/6/8/8)","●―"
"970","DSL 166362|DS 186|PSP 30203|GBASP 426|GBM 455|PS2 12602|Wii 66357|PS3 9665|XB360 4058","『ゼルダの伝説　夢幻の砂時計』|DS、任天堂、2007/6/23、4800円、288282本（初）|（2007/6/18〜6/24）","『ゴーストリコン　アドバンスウォーファイター2』|XB360、ユービーアイソフト、36点(9/9/9/9)","●DS Liteの新色「グロスシルバー」「メタリックロゼ」発売"
"971","DSL 153120|DS 239|PSP 38609|GBASP 513|GBM 525|PS2 19859|Wii 75010|PS3 12677|XB360 4318","『スーパーロボット大戦OGオリジナルジェネレーションズ』|PS2、バンプレスト、2007/6/28、7329円、332373本（初）|（2007/6/25〜7/1）","『実況パワフルプロ野球14』|PS2、KONAMI、34点(9/9/8/8)|『実況パワフルプロ野球Wii』|Wii、KONAMI、34点(9/9/8/8)","●―"
"972","DSL 119636|DS 188|PSP 35181|GBASP 476|GBM 658|PS2 14956|Wii 70798|PS3 13402|XB360 3355","『ゼルダの伝説　夢幻の砂時計』|DS、任天堂、2007/6/23、4800円、82748本（531634）|（2007/7/2〜7/8）","『ザ　エルダースクロールズIV：オブリビオン』|XB360、スパイク、38点(10/9/10/9)","●―"
"973","DSL 135791|DS 155|PSP 32935|GBASP 388|GBM 539|PS2 17041|Wii 104897|PS3 14143|XB360 3640","『ドラゴンクエストソード　仮面の女王と鏡の塔』|Wii、任天堂、2007/7/12、6800円、302066本（初）|（2007/7/9〜7/15）","『みんなのGOLF5』|PS3、SCE、36点(9/9/9/9)","●―"
"974","DSL 143491|DS 128|PSP 29268|GBASP 571|GBM 656|PS2 16233|Wii 75681|PS3 13443|XB360 2772","『実況パワフルプロ野球14』|PS2、KONAMI、2007/7/19、7329円、147993本（初）|（2007/7/16〜7/22）","『ドンキーコングジャングルクライマー』|DS、任天堂、31点(8/8/7/8)|『ワイルドアームズクロスファイア』|PSP、SCE、31点(7/8/8/8)","●―"
"976|※","DSL 164353|DS 128|PSP 31669|GBASP 606|GBM 616|PS2 14339|Wii 70366|PS3 38322|XB360 3885","『マリオパーティ8』|Wii、任天堂、2007/7/26、5800円、282389本（初）|（2007/7/23〜7/29）","『ファイナルファンタジー・クリスタルクロニクル　リング・オブ・フェイト』|DS、スクウェア・エニックス、35点(9/8/9/9)","●―"
"977","DSL 143551|DS 105|PSP 29492|GBASP 464|GBM 692|PS2 14762|Wii 62798|PS3 21985|XB360 3305","『マリオパーティ8』|Wii、任天堂、2007/7/26、5800円、147084本（429473）|（2007/7/30〜8/5）","『サモンナイトツインエイジ〜精霊たちの共鳴（こえ）〜』|DS、バンプレスト、33点(9/8/8/8)|『BLADESTORM（ブレイドストーム）百年戦争』|PS3、コーエー、33点（9/8/8/8）","●―"
"978","DSL 318329|DS 308|PSP 56563|GBASP 1258|GBM 1385|PS2 31495|Wii 132642|PS3 44673|XB360 5725|（2週分）","『マリオパーティ8』|Wii、任天堂、2007/7/26、5800円、230154本（659627）|（2007/8/6〜8/19）","『Another Century's Episode3 THE FINAL（アナザーセンチュリーズエピソード3ザファイナル）』|PS2、バンプレスト、34点(8/9/8/9)","●―"
"979","DSL 116353|DS 153|PSP 21506|GBASP 475|GBM 697|PS2 16269|Wii 50213|PS3 14883|XB360 2258","『ファイナルファンタジー・クリスタルクロニクル　リング・オブ・フェイト』|DS、スクウェア・エニックス、2007/8/23、5040円、206439本（初）|（2007/8/20〜8/26）","『ポケモン不思議のダンジョン　時の探検隊・闇の探検隊』|DS、ポケモン、35点(9/9/9/8)|『クライシスコア-ファイナルファンタジーVII-』|PSP、スクウェア・エニックス、35点(9/9/8/9)","●―"
"980","DSL 101110|DS 138|PSP 21810|GBASP 407|GBM 489|PS2 15835|Wii 47639|PS3 16816|XB360 2062","『ファイナルファンタジー・クリスタルクロニクル　リング・オブ・フェイト』|DS、スクウェア・エニックス、2007/8/23、5040円、77316本（283755）|（2007/8/27〜9/2）","『メタルギアソリッド　ポータブル・オプス＋』|PSP、KONAMI、35点(8/9/9/9)","●今号からクロスレビューにメーカーアンケートによるターゲット層と平均プレイ時間を掲載"
