"begin_date","end_date","hw","units"
"2017-09-04","2017-09-11","3DS","22468"
"2017-09-04","2017-09-11","Vita","4182"
"2017-09-04","2017-09-11","WiiU","105"
"2017-09-04","2017-09-11","NSW","47801"
"2017-09-04","2017-09-11","PS4","31595"
"2017-09-04","2017-09-11","XBOne","84"
"2017-09-11","2017-09-18","3DS","20413"
"2017-09-11","2017-09-18","Vita","4308"
"2017-09-11","2017-09-18","WiiU","174"
"2017-09-11","2017-09-18","NSW","38006"
"2017-09-11","2017-09-18","PS4","27480"
"2017-09-11","2017-09-18","XBOne","51"
"2017-09-18","2017-09-25","3DS","18868"
"2017-09-18","2017-09-25","Vita","3871"
"2017-09-18","2017-09-25","WiiU","73"
"2017-09-18","2017-09-25","NSW","50146"
"2017-09-18","2017-09-25","PS4","25819"
"2017-09-18","2017-09-25","XBOne","26"
"2017-09-25","2017-10-02","3DS","20680"
"2017-09-25","2017-10-02","Vita","4256"
"2017-09-25","2017-10-02","WiiU","32"
"2017-09-25","2017-10-02","NSW","74500"
"2017-09-25","2017-10-02","PS4","34564"
"2017-09-25","2017-10-02","XBOne","53"
"2017-10-02","2017-10-09","3DS","23406"
"2017-10-02","2017-10-09","Vita","3987"
"2017-10-02","2017-10-09","WiiU","35"
"2017-10-02","2017-10-09","NSW","38425"
"2017-10-02","2017-10-09","PS4","25398"
"2017-10-02","2017-10-09","XBOne","189"
"2017-10-09","2017-10-16","3DS","20157"
"2017-10-09","2017-10-16","Vita","4142"
"2017-10-09","2017-10-16","WiiU","49"
"2017-10-09","2017-10-16","NSW","37227"
"2017-10-09","2017-10-16","PS4","26486"
"2017-10-09","2017-10-16","XBOne","53"
"2017-10-16","2017-10-23","3DS","15255"
"2017-10-16","2017-10-23","Vita","3832"
"2017-10-16","2017-10-23","WiiU","33"
"2017-10-16","2017-10-23","NSW","23892"
"2017-10-16","2017-10-23","PS4","32007"
"2017-10-16","2017-10-23","XBOne","71"
"2017-10-23","2017-10-30","3DS","16465"
"2017-10-23","2017-10-30","Vita","3197"
"2017-10-23","2017-10-30","WiiU","46"
"2017-10-23","2017-10-30","NSW","133094"
"2017-10-23","2017-10-30","PS4","26123"
"2017-10-23","2017-10-30","XBOne","59"
"2017-10-30","2017-11-06","3DS","20368"
"2017-10-30","2017-11-06","Vita","3309"
"2017-10-30","2017-11-06","WiiU","38"
"2017-10-30","2017-11-06","NSW","63977"
"2017-10-30","2017-11-06","PS4","31963"
"2017-10-30","2017-11-06","XBOne","65"
"2017-11-06","2017-11-13","3DS","18687"
"2017-11-06","2017-11-13","Vita","3023"
"2017-11-06","2017-11-13","WiiU","32"
"2017-11-06","2017-11-13","NSW","84593"
"2017-11-06","2017-11-13","PS4","29641"
"2017-11-06","2017-11-13","XBOne","1688"
"2017-11-13","2017-11-20","3DS","40582"
"2017-11-13","2017-11-20","Vita","2716"
"2017-11-13","2017-11-20","WiiU","38"
"2017-11-13","2017-11-20","NSW","90303"
"2017-11-13","2017-11-20","PS4","31862"
"2017-11-13","2017-11-20","XBOne","161"
"2017-11-20","2017-11-27","3DS","32178"
"2017-11-20","2017-11-27","Vita","3396"
"2017-11-20","2017-11-27","WiiU","131"
"2017-11-20","2017-11-27","NSW","133746"
"2017-11-20","2017-11-27","PS4","27806"
"2017-11-20","2017-11-27","XBOne","204"
"2017-11-27","2017-12-04","3DS","32246"
"2017-11-27","2017-12-04","Vita","4223"
"2017-11-27","2017-12-04","WiiU","63"
"2017-11-27","2017-12-04","NSW","150583"
"2017-11-27","2017-12-04","PS4","31518"
"2017-11-27","2017-12-04","XBOne","223"
"2017-12-04","2017-12-11","3DS","45217"
"2017-12-04","2017-12-11","Vita","8676"
"2017-12-04","2017-12-11","WiiU","98"
"2017-12-04","2017-12-11","NSW","193717"
"2017-12-04","2017-12-11","PS4","79242"
"2017-12-04","2017-12-11","XBOne","3409"
"2017-12-11","2017-12-18","3DS","53886"
"2017-12-11","2017-12-18","Vita","9561"
"2017-12-11","2017-12-18","WiiU","101"
"2017-12-11","2017-12-18","NSW","230259"
"2017-12-11","2017-12-18","PS4","73142"
"2017-12-11","2017-12-18","XBOne","1581"
"2017-12-18","2017-12-25","3DS","89430"
"2017-12-18","2017-12-25","Vita","16155"
"2017-12-18","2017-12-25","WiiU","103"
"2017-12-18","2017-12-25","NSW","303504"
"2017-12-18","2017-12-25","PS4","70581"
"2017-12-18","2017-12-25","XBOne","569"
"2017-12-25","2018-01-01","3DS","35357"
"2017-12-25","2018-01-01","Vita","7040"
"2017-12-25","2018-01-01","WiiU","69"
"2017-12-25","2018-01-01","NSW","115255"
"2017-12-25","2018-01-01","PS4","58182"
"2017-12-25","2018-01-01","XBOne","287"
"2018-01-01","2018-01-08","3DS","64986"
"2018-01-01","2018-01-08","Vita","13119"
"2018-01-01","2018-01-08","NSW","159636"
"2018-01-01","2018-01-08","PS4","103607"
"2018-01-01","2018-01-08","XBOne","273"
"2018-01-08","2018-01-15","3DS","21014"
"2018-01-08","2018-01-15","Vita","4146"
"2018-01-08","2018-01-15","NSW","31189"
"2018-01-08","2018-01-15","PS4","41188"
"2018-01-08","2018-01-15","XBOne","129"
"2018-01-15","2018-01-22","3DS","14620"
"2018-01-15","2018-01-22","Vita","4007"
"2018-01-15","2018-01-22","NSW","38749"
"2018-01-15","2018-01-22","PS4","44910"
"2018-01-15","2018-01-22","XBOne","440"
"2018-01-22","2018-01-29","3DS","12572"
"2018-01-22","2018-01-29","Vita","3367"
"2018-01-22","2018-01-29","NSW","39473"
"2018-01-22","2018-01-29","PS4","140432"
"2018-01-22","2018-01-29","XBOne","1603"
"2018-01-29","2018-02-05","3DS","12551"
"2018-01-29","2018-02-05","Vita","4228"
"2018-01-29","2018-02-05","NSW","46517"
"2018-01-29","2018-02-05","PS4","109286"
"2018-01-29","2018-02-05","XBOne","1086"
"2018-02-05","2018-02-12","3DS","13066"
"2018-02-05","2018-02-12","Vita","4177"
"2018-02-05","2018-02-12","NSW","43522"
"2018-02-05","2018-02-12","PS4","70172"
"2018-02-05","2018-02-12","XBOne","368"
"2018-02-12","2018-02-19","3DS","13075"
"2018-02-12","2018-02-19","Vita","5274"
"2018-02-12","2018-02-19","NSW","40655"
"2018-02-12","2018-02-19","PS4","48391"
